Column1,Column2,Column3,Column4,Column5,Column6,Checked
84886454480,"das Auge, -n",Er hat blaue Augen.,eye,He has blue eyes.,,
84886454481,aus,Er kommt aus Brasilien.,from,He comes from Brazil.,,
84886454482,der Ausflug,Morgen machen wir einen Ausflug nach Heidelberg.,excursion,Tomorrow we are going on an excursion to Heidelberg.,,
84886454483,ausfüllen,Füllen Sie bitte dieses Formular aus.,to fill out,Please fill out this form.,,
84886454484,der Ausgang,Wo ist der Ausgang?,exit,Where is the exit?,,
84886454485,"die Auskunft, -ü, e",Können Sie mir eine Auskunft geben?,information/details,Can you give me some information?,,
84886454486,das Ausland,Fahren Sie ins Ausland?,abroad/overseas,Do you travel abroad?,,
84886454487,"der Ausländer, -",Sind Sie Ausländerin?,foreigner,Are you a foreigner?,A little offensive.,
84886454488,ausländisch,Leider habe ich nur ausländisches Geld.,foreign,Unfortunately I only have foreign money.,,
84886454489,ausmachen,Mach bitte das Licht aus!,to switch off,Please switch off the light!,,
84886454490,"die Aussage, -n",Ist die Aussage richtig oder falsch?,statement,Is the statement true or false?,,
84886454491,aussehen,Das sieht schön aus.,to look,That looks beautiful.,,
84886454492,aus sein,Das Licht ist aus.,to be (switched) off,The light is off.,,
84886454493,aus sein,Die Schule ist aus.,to be out,School is out.,,
84886454494,aussteigen,Wo muss ich aussteigen?,to alight,Where do I need to alight?,,
84886454495,der Ausweis,Hier ist mein Ausweis.,identity card,Here is my identity card.,,
84886454496,ausziehen,"Zieh die Schuhe aus, bitte!",to take off,Please take off your shoes!,,
84886454497,sich ausziehen,Ich ziehe mich aus.,to get undressed,I get undressed.,,
84886454498,"das Auto, -s",Er kommt mit dem Auto.,car,He’s coming by car.,,
84886454499,"die Autobahn, -en",Wo geht‘s hier bitte zur Autobahn?,motorway,How do I get to the motorway?,,
84886454500,der Automat,Die Fahrkarten gibt es nur am Automaten.,machine,Tickets are only available from the machines.,,
84886454501,automatisch,Du musst nichts machen. Das geht automatisch.,automatic,You don’t need to do anything. It's automatic.,,
84886454502,"das Baby, -s",Mein Kind ist noch ein Baby.,baby,My child is still a baby.,,
84886454503,die Bäckerei,Ich geh mal schnell zur Bäckerei.,bakery,I’m just popping to the bakery.,,
84886454504,das Bad,Wir haben kein großes Bad.,bathroom,We don’t have a large bathroom.,,
84886454505,baden,"Ich bade nicht so gern, ich dusche lieber.",to bathe,"I don’t like bathing so much, I prefer to shower.",,
84886454506,die Bahn,Wir fahren lieber mit der Bahn.,train,We prefer to travel by train.,,
84886454507,die Bahn,Ich nehme die nächste Bahn.,train,I’ll take the next train.,,
84886454508,der Bahnhof,Komme ich hier zum Bahnhof?,train station,Is this the way to the train station?,,
84886454509,der Bahnsteig,Auf welchem Bahnsteig fährt der Zug?,platform,From which platform does the train depart?,,
84886454510,bald,Ich komme bald.,soon,I’m coming soon.,,
84886454511,der Balkon,Die Wohnung hat auch einen kleinen Balkon.,balcony,The flat also has a small balcony.,,
84886454512,"die Banane, -n","Drei Bananen, bitte!",banana,"Three bananas, please!",,
84886454513,die Bank,Die Bank schließt schon um vier Uhr.,bank,The bank closes at 4 pm already.,,
84886454514,die Bank,Er sitzt im Park auf einer Bank und liest.,bench,He’s sits in the park on a bench and reads.,,
84886454515,bar,Muss ich bar zahlen oder geht‘s auch mit Karte?,cash,"Do I have to pay in cash, or can I also pay by card?",,
84886454516,der Bauch,Seit gestern tut mir der Bauch weh.,stomach,My stomach has been hurting since yesterday.,,
84886454517,"der Baum, -ä, e","Vorsicht, fahr nicht an den Baum!",tree,"Careful, don’t drive into the tree!",,
84886454518,"der Beamte, -n",Fragen Sie die Beamtin an Schalter acht!,official,Ask the official at counter eight!,,
84886454519,bedeuten,Was bedeutet das Wort?,to mean,What does that word mean?,,
84886454520,beginnen,Das Spiel beginnt um 15.30 Uhr.,to begin,The game begins at 3:30 pm.,,
84886454521,bei,Offenbach liegt bei Frankfurt.,next to,Offenbach is next to Frankfurt.,,
84886454522,bei,Ich wohne bei meinen Eltern.,at,I live at my parents’ place.,,
84886454523,bei uns,Bei uns regnet es heute.,here / where we are,It is raining here today.,bei uns = set phrase,
84886454524,bei,Er arbeitet bei der Polizei.,for,He works for the police.,,
84886454525,beide,Beide Eltern arbeiten.,both,Both parents work.,,
84886454526,beide,Wir kommen beide.,both,We are both coming.,,
84886454527,"das Bein, -e",Mein rechtes Bein tut weh.,leg,My right leg hurts.,,
84886454528,"das Beispiel, -e",Kannst du mir ein Beispiel sagen?,example,Can you give me an example?,,
84886454529,zum Beispiel/z. B.,"Viele meiner Verwandten, z. B. meine beiden Brüder, arbeiten auch hier.",for example,"Many of my relatives, for example, both of my brothers, also work here.",,
84886454530,bekannt,Picasso ist sehr bekannt.,well known,Picasso is very well known.,,
84886454531,"der/die Bekannte, -n",Ein Bekannter von mir heißt Klaus.,acquaintance,An acquaintance of mine is called Klaus.,,
84886454532,bekommen,Haben Sie meinen Brief bekommen?,to receive,Did you receive my letter?,,
84886454533,bekommen,Was bekommen Sie?,to have,What will you have?,for food and drink,
84886454534,bekommen,Dieses Medikament bekommen Sie in der Apotheke.,to get,You can get this medicine in a pharmacy.,,
84886454535,benutzen,Die Aufzüge bitte nicht benutzen!,to use,Please don’t use the lifts!,,
84886454536,"der Beruf, -e",Was sind Sie von Beruf?,profession,What is your profession?,,
84886454537,"der Beruf, -e",Was ist Ihr Beruf?,occupation,What is your occupation?,,
84886454538,besetzt,Die Nummer ist immer besetzt.,busy,The number is always busy.,,
84886454539,besetzt,Der Platz ist besetzt.,taken,The seat is taken.,,
84886454540,besichtigen,Ich möchte gern den Dom besichtigen.,to visit,I would like to visit the cathedral.,,
84886454541,besser,Es geht mir schon besser.,better,I'm already feeling better.,,
84886454542,best-,Am besten treffen wir uns morgen.,best,It's best that we meet tomorrow.,,
84886454543,bestellen,"Wir möchten bestellen, bitte.",to order,"We would like to order, please.",,
84886454544,bestellen,Dieses Buch haben wir nicht – sollen wir es für Sie bestellen?,to order,"We don’t have this book, should we order it for you?",,
84886454545,besuchen,Darf ich dich besuchen?,to visit,May I visit you?,,
84886454546,"das Bett, -en",Wir brauchen noch ein Kinderbett.,bed,We need another children’s bed.,,
84886454547,bezahlen,Wo muss ich bezahlen?,to pay,Where do I need to pay?,,
84886454548,das Bier,Noch ein Bier bitte.,beer,"Another beer, please.",,
84886454549,"das Bild, -er",Hast du ein Bild von deinem Sohn?,picture,Do you have a picture of your son?,,
84886454550,billig,Die Jacke kostet nur 10 Euro! Die ist aber billig!,cheap,The jacket only costs 10 euros! That’s cheap!,,
84886454551,"die Birne, -n","Ein Kilo Birnen, bitte!",pear,"One kilogram of pears, please!",,
84886454552,bis,Ich fahre nur bis Stuttgart.,to (as far as),I’m only travelling to Stuttgart.,,
84886454553,bis,Ich warte bis morgen.,until,I will wait until tomorrow.,,
84886454554,bisschen,"Ich spreche Englisch, Französisch und ein bisschen Deutsch.",(a) little,"I speak English, French, and a little German.",,
84886454555,bitte,"Eine Tasse Kaffee, bitte!",please,"A cup of coffee, please!",,
84886454556,bitte,Sprechen Sie bitte leise!,please,Please speak softly!,,
84886454557,"die Bitte, -n",Ich habe noch eine Bitte.,request,I have one more request.,,
84886454558,bitten,Darf ich Sie um etwas bitten?,to ask,May I ask something of you?,,
84886454559,bitter,Der Kaffee schmeckt bitter.,bitter,The coffee tastes bitter.,,
84886454560,bleiben,Ich bleibe heute zu Hause.,to stay,I'm staying home today.,,
84886454561,bleiben,Wir bleiben nur bis morgen.,to stay,We are only staying until tomorrow.,,
84886454562,"der Bleistift, -e",Hast du einen Bleistift?,pencil,Do you have a pencil?,,
84886454563,der Blick,Von diesem Hotel hat man einen guten Blick auf den Rhein.,view,From this hotel you have a good view of the Rhine.,,
84886454564,"die Blume, -n",Gefallen dir die Blumen?,flower,Do you like the flowers?,,
84886454565,der Bogen,Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.,sheet,Write your solutions on the answer sheet.,,
84886454566,böse,Sie ist böse auf mich.,angry,She is angry with me.,,
84886454567,brauchen,Brauchst du die Zeitung noch?,to need,Do you still need the newspaper?,,
84886454568,breit,Wie breit ist der Schrank?,wide,How wide is the cupboard?,,
84886454569,"der Brief, -e",Haben Sie einen Brief für mich?,letter,Do you have a letter for me?,,
84886454570,"die Briefmarke, -n",Kaufst du bitte Briefmarken bei der Post.,(postage) stamp,Could you please buy stamps at the post office.,,
84886454571,bringen,Bringen Sie mir bitte noch einen Kaffee!,to bring,Please bring me another coffee!,,
84886454572,bringen,Wir müssen ihn zum Arzt bringen.,to take,We need to take him to the doctor.,,
84886454573,"das Brot, -e",Haben Sie auch Weißbrot?,bread,"Do you have white bread, too?",,
84886454574,"das Brot, -e",Nimm noch ein paar Brote für die Fahrt mit.,bread roll,Take another couple of bread rolls for the journey.,,
84886454575,"das Brötchen, –",Möchtest du Brötchen zum Frühstück?,bread roll,Would you like bread rolls for breakfast?,,
84886454576,"der Bruder, -ü",Sein Bruder arbeitet auch hier.,brother,His brother also works here.,,
84886454577,"das Buch, -ü, er",Gute Bücher sind oft sehr teuer.,book,Good books are often very expensive.,,
84886454578,"das Wörterbuch, -ü, er",In diesem Wörterbuch finden Sie mehr als 20.000 Wörter.,dictionary,"You will find more than 20,000 words in this dictionary.",,
84886454579,"der Buchstabe, -n",Diesen Buchstaben gibt es in meiner Sprache nicht.,letter (character),We don't have this letter in my language.,,
84886454580,buchstabieren,Bitte buchstabieren Sie Ihren Namen.,to spell,Please spell your name.,,
84886454581,"der Bus, -se",Wann kommt der nächste Bus?,bus,When does the next bus arrive?,,
84886454582,die Butter,Für mich bitte ein Brötchen mit Butter und Käse.,butter,"A bread roll with butter and cheese for me, please.",,
84886454583,"das Café, -s",Sollen wir uns im Café treffen?,cafe,Should we meet at the cafe?,,
84886454584,"die CD, -s",Bring bitte deine Lieblings-CD mit.,CD,Please bring your favourite CD with you.,,
84886454585,der Chef,Wir haben eine neue Chefin.,boss,We have a new boss.,,
84886454586,circa/ca.,Von Mainz nach Frankfurt sind es circa fünfzig Kilometer.,approximately,From Mainz to Frankfurt it is approximately 50 kilometres.,,
84886454587,"der Computer, –",Wann bekommst du deinen neuen Computer?,computer,When are you getting your new computer?,,
84886454588,da,Da hinten ist er ja.,there,He’s back there.,,
84886454589,da,Wir sprechen gerade über Paul. Da kommt er ja gerade.,here,We are talking about Paul. Here he comes now.,,
84886454590,da,Ich nehme das da.,there,I’ll take that there.,,
84886454591,da,Ist Herr Klein schon da?,here,Is Mr Klein already here?,,
84886454592,"die Dame, -n",Damen (an der Toilette),lady,Ladies (toilet sign),,
84886454593,"die Dame, -n",Sehr geehrte Damen und Herren!,lady,Ladies and gentlemen!,,
84886454594,daneben,Du kennst doch die Post. Daneben ist die Bank.,next to it,You do know the post office. The bank is next to it.,,
84886454595,danken,Ich danke Ihnen für die Einladung.,to thank,I thank you for the invitation.,,
84886454596,der Dank,Vielen Dank!,thanks,Many thanks!,,
84886454597,der Dank,Herzlichen Dank!,thanks,Thank you very much!,,
84886454598,danke,"Soll ich Ihnen helfen? / Nein, danke!",thank you,Can I help you? / No thank you!,,
84886454599,dann,"Ich muss noch schnell zur Post, dann komme ich.",then (afterwards),"I still need to pop to the post office, then I’ll come.",,
84886454600,das Datum,Bitte schreiben Sie noch das Datum auf das Formular.,date,Please write the date on the form.,,
84886454601,dauern,Wie lange dauert der Film?,to take (duration),How long is the film?,,
84886454602,dein-,Ist das dein Auto?,your,Is that your car?,,
84886454603,dein-,Ist das deins?,yourself,Is that yours?,,
84886454604,denn,"Ich kann nicht kommen, denn ich bin krank.",because,I can’t come because I’m ill.,,
84886454605,das,Ich nehme das da.,that,I’ll take that there.,,
84886454606,das,Ich mag das Buch.,the,I like the book.,,
84886454607,der,"Hier ist der Brief, den du suchst.",the,Here is the letter that you’re looking for.,,
84886454608,die,Die Fahrkarte bekommst du am Bahnhof.,the,You will get the ticket at the train station.,,
84886454609,dich,Die Blumen sind für dich.,you,The flowers are for you.,,
84886454610,dies-,Ich nehme lieber diesen Kuchen.,this,I’d prefer to have this cake.,,
84886454611,dir,Gefallen dir die Blumen?,you,Do you like the flowers?,,
84886454612,die Disco,Heute abend gehen wir in die Disco tanzen.,disco,This evening we’re going dancing in the disco.,,
84886454613,der Doktor,Meine Tochter ist krank. Wir gehen zum Doktor.,doctor,My daughter is sick. We are going to the doctor.,,
84886454614,das Doppelzimmer,Wollen Sie ein Doppelzimmer oder ein Einzelzimmer?,double room,Would you like a double room or a single room?,,
84886454615,"das Dorf, -ö, er",Meine Familie lebt in einem Dorf.,village,My family lives in a village.,,
84886454616,dort,Dort ist mein Zimmer.,there,There's my room.,,
84886454617,dorthin,Deine Tasche kannst du dorthin stellen.,"there (to that place, in that direction)",You can put your bag there.,,
84886454618,dorther,Er kommt gerade dorther.,from there,He's just coming from there.,,
84886454619,draußen,Wollen wir draußen sitzen?,outside,Shall we sit outside?,lit. “do we want to…”,
84886454620,drucken,Bitte drucke das Formular für mich.,to print,Please print the form for me.,,
84886454621,"der Drucker, –",Mein Drucker ist kaputt.,printer,My printer is broken.,,
84886454622,drücken,"Drück hier, dann geht der Computer an.",to press,"Press here, then the computer turns on.",,
84886454623,durch,Am besten gehen Sie durch die Breite Straße.,through,It's best to go through Breite Straße.,,
84886454624,"die Durchsage, -n",Ich habe die Durchsage nicht verstanden.,announcement,I didn’t understand the announcement.,,
84886454625,dürfen,Sie dürfen hier nicht rauchen.,to be allowed,You are not allowed to smoke here.,,
84886454626,dürfen,Darf ich Sie zu einem Kaffee einladen?,to be allowed,May I invite you for a coffee?,,
84886454627,dürfen,Es darf nicht mehr als 15 Euro kosten.,to be allowed,It may not cost more than 15 euros.,,
84886454628,der Durst,Hast du etwas zu trinken? Ich habe großen Durst.,thirst,Do you have anything to drink? I’m very thirsty.,,
84886454629,(sich) duschen,"Ich bade nicht so gern, ich dusche lieber.",to shower,"I don’t like bathing so much, I prefer to shower.",,
84886454630,die Dusche,Unsere Wohnung hat nur eine Dusche.,shower,Our flat only has a shower.,,
84886454631,"die Ecke, -n",An der nächsten Ecke links.,corner,Left at the next corner.,,
84886454632,"die Ehefrau, -en/",Das ist meine (Ehe-) Frau.,wife,That is my wife.,,
84886454633,"der Ehemann, ä, er",Das ist mein (Ehe-) Mann.,husband,That is my husband.,,
84886454634,"das Ei, -er",Möchtest du ein Ei zum Frühstück?,egg,Would you like an egg for breakfast?,,
84886454635,eilig,Hast du es eilig?,…,Are you in a hurry?,es eilig haben = to be in a rush/hurry,
84886454636,ein-,Ich nehme ein Bier. Willst du auch eins?,one / a,"I’ll have a beer. Do you want one, too?",,
84886454637,ein-,"Ist hier einer, der das kann?",someone,Is there someone here who can do that?,alt: “Ist hier jemand…”,
84886454638,einfach,Die Prüfung ist ganz einfach.,simple,The test is very simple.,,
84886454639,einfach,"Hin und zurück? / Nein, bitte nur einfach.",a single (ticket),"Return? / No, just a single, please.",,
84886454640,einfach,Ich brauche nur ein einfaches Zimmer.,simple,I just need a simple room.,,
84886454641,der Eingang,Der Eingang ist um die Ecke.,entrance,The entrance is round the corner.,,
84886454642,einkaufen,Ich muss noch für morgen einkaufen.,to go shopping,I still need to go shopping for tomorrow.,,
84886454643,einladen,Darf ich Sie zu einem Kaffee einladen?,to invite / treat,May I treat you to a coffee?,,
84886454644,die Einladung,Danke für die Einladung!,invitation,Thank you for the invitation!,,
84886454645,noch einmal,Diese Prüfung mache ich nicht noch einmal.,again,I will not take this exam again.,,
84886454646,einmal,Sie dürfen diese Prüfung nur einmal machen.,once,You may only take this exam once.,,
84886454647,einsteigen,"Schnell, steig ein, der Zug fährt gleich.",to get on (board),"Quick, get on, the train is about to leave!",,
84886454648,der Eintritt,Der Preis für den Eintritt ist 5 Euro.,entry,The price for entry is 5 euros.,,
84886454649,das Einzelzimmer,Haben Sie noch ein Einzelzimmer?,single room,Do you have another single room?,,
84886454650,die Eltern (pl.),Meine Eltern leben in Spanien.,parents,My parents live in spain.,,
84886454651,"die E-Mail, -s",Ich habe Ihre E-Mail nicht bekommen.,email,I didn’t receive your email.,,
84886454652,"der Empfänger, –","Auf dem Brief steht dein Name, also bist du der Empfänger.",recipient,"Your name is on the letter, therefore you are the recipient.",,
84886454653,empfehlen,Welchen Wein können Sie mir empfehlen?,to recommend,Which wine can you recommend to me?,,
84886454654,enden,Die Straße endet hier.,to end,The street ends here.,,
84886454655,das Ende,Sie wohnt am Ende der Straße.,end,She lives at the end of the street.,,
84886454656,das Ende,Er bekommt sein Geld am Ende des Monats.,end,He gets his money at the end of the month.,,
84886454657,entschuldigen,Entschuldigen Sie bitte!,to excuse,"Excuse me, please!",,
84886454658,die Entschuldigung,Entschuldigung! / Bitte.,…,Excuse me! / Sure.,,
84886454659,er,Er heißt Ali.,he,He’s called Ali.,,
84886454660,"das Ergebnis, -se",Das Ergebnis des Tests bekommen Sie in zwei Wochen.,result,You will receive the test results in two weeks.,,
84886454661,erklären,Kannst du mir das erklären?,to explain,Can you explain that to me?,,
84886454662,erlauben,Rauchen ist hier nicht erlaubt.,allow,Smoking is not allowed here.,,
84886454663,"der Erwachsene, -n",Dieser Film ist nur für Erwachsene.,adult,This film is for adults only.,,
84886454664,erzählen,Wir müssen euch etwas erzählen!,to tell,We need to tell you something!,,
84886454665,es,Es regnet.,it,It’s raining.,,
84886454666,essen,Was gibt es zu essen?,to eat,What is there to eat?,,
84886454667,das Essen,Das Essen ist heute sehr gut.,food,The food is very good today.,,
84886454668,euer,Euer Kurs beginnt heute.,your [pl.],Your course begins today.,,
84886454669,fahren,Ich fahre mit dem Auto zur Arbeit.,to travel,I go to work by car.,,
84886454670,der Fahrer,Bitte nicht mit dem Fahrer sprechen!,driver,Please do not speak to the driver!,,
84886454671,"die Fahrkarte, -n",Hast du schon eine Fahrkarte?,(transport) ticket,Do you already have a ticket?,,
84886454672,"das Fahrrad, -ä, er",Fährst du mit dem Fahrrad oder mit dem Auto?,bicycle,Do you travel by bike or by car?,,
84886454673,falsch,Das ist falsch.,wrong / incorrect,That is wrong.,,
84886454674,"die Familie, -n",Meine Familie lebt in Spanien.,family,My family lives in Spain.,,
84886454675,der Familienname,Meine Familiennamen sind García González.,surname,My surname is García González.,,
84886454676,der Familienstand,Bei „Familienstand“ musst du „ledig“ ankreuzen.,family/marital status,Under “family status” you have to tick “single”.,,
84886454677,"die Farbe, -n",Die Farbe gefällt mir gut.,colour,I like the colour.,,
84886454678,"das Fax, -e",Schicken Sie uns einfach ein Fax!,fax,Just send us a fax!,,
84886454679,der Feierabend,Wir machen jetzt Feierabend.,…,We are calling it a day now. / We are finishing work for the day now.,Feierabend machen = set phrase for the end of work/home time,
84886454680,der Feiertag,Am Montag ist Feiertag.,bank holiday,Monday is a bank holiday.,,
84886454681,feiern,Wir feiern heute meinen Geburtstag.,to celebrate,Today we are celebrating my birthday.,,
84886454682,fehlen,"Herr Müller ist nicht da, er fehlt schon seit drei Tagen.",to be absent,"Mr Müller is not here, he’s been absent for three days.",,
84886454683,fehlen,Was fehlt Ihnen?,to be missing,What are you missing?,,
84886454684,"der Fehler, –",Diesen Fehler mache ich immer.,mistake,I always make this mistake.,,
84886454685,fernsehen,Wollen wir heute Abend mal fernsehen?,to watch TV,Shall we watch TV this evening?,lit. “do we want to…”,
84886454686,fertig,Bist du fertig?,finished / ready / done,Are you done?,,
84886454687,fertig,Ist mein Auto schon fertig?,finished / ready / done,Is my car already finished?,,
84886454688,das Feuer,Haben Sie Feuer?,fire / lighter,Do you have a light?,,
84886454689,das Fieber,Mein Mann hat noch immer Fieber.,fever,My husband still has a fever.,,
84886454690,"der Film, -e",Ich möchte gern diesen Film sehen.,film,I would like to see this film.,,
84886454691,finden,Wir müssen den Schlüssel finden.,to find,We must find the key.,,
84886454692,die Firma,Er arbeitet jetzt bei einer anderen Firma.,company,He works for another company now.,,
84886454693,"der Fisch, -e",Ich esse gern Fisch. Fleisch mag ich nicht.,fish,I like to eat fish. I don’t like meat.,,
84886454694,"die Flasche, -n","Eine Flasche Bier, bitte.",bottle,"A bottle of beer, please.",,
84886454695,das Fleisch,Fleisch mag ich nicht.,meat,I don’t like meat.,,
84886454696,fliegen,Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.,to fly,I don’t like to fly. That's why I travel by train.,,
84886454697,abfliegen,Wann fliegst du ab?,to depart (by air),When do you depart?,,
84886454698,der Abflug,Der Abflug ist um 11.20 Uhr.,(flight) departure,Departure is at 11:20 am.,,
84886454699,der Flughafen,Kannst du mich zum Flughafen bringen?,airport,Can you take me to the airport?,,
84886454700,das Flugzeug,Das Flugzeug aus Berlin kommt heute später an.,aeroplane,The plane from Berlin will arrive later today.,,
84886454701,"das Formular, -e",Sie müssen dieses Formular ausfüllen.,form,You must fill out this form.,,
84886454702,"das Foto, -s",Darf ich ein Foto machen?,photograph,May I take a photo?,,
84886454703,fragen,Er möchte Sie etwas fragen. Wann kommen Sie?,to ask,He wants to ask you something. When are you coming?,,
84886454704,"die Frage, -n",Ich habe eine Frage.,question,I have a question.,,
84886454705,die Frau,Das ist Frau Becker.,Ms,That is Ms Becker.,,
84886454706,die Frau,Die Frau da drüben ist Eva Schmitt.,woman,The woman over there is Eva Schmitt.,,
84886454707,die Frauen,Hier arbeiten mehr Frauen als Männer.,women,More women work here than men.,,
84886454708,frei,Ist der Platz noch frei?,free,Is this seat still free?,,
84886454709,die Freizeit,In meiner Freizeit spiele ich oft Fußball.,free time,I often play football in my free time.,,
84886454710,fremd,"Das weiß ich nicht, ich bin fremd hier.",foreign,"I don’t know, I’m not from here.",,
84886454711,(sich) freuen,Ich freue mich auf den Urlaub.,to look forward,I’m looking forward to the holiday.,,
84886454712,"der Freund, -e",Das ist ein Freund von mir.,friend,That is a friend of mine.,,
84886454713,die Freundin,Das ist meine Freundin.,friend / girlfriend,That is my friend/girlfriend.,context differentiates between friend/girlfriend,
84886454714,früher,Früher waren wir oft zusammen im Kino.,earlier / in the past,In the past we often went to the cinema together.,,
84886454715,frühstücken,Am Sonntag frühstücke ich gern im Bett.,to have breakfast,On Sunday I like to have breakfast in bed.,,
84886454716,das Frühstück,Möchtest du ein Ei zum Frühstück?,breakfast,Would you like an egg for breakfast?,,
84886454717,die Führung,Die Führung durch das Haus beginnt in 3 Minuten.,tour,The tour of the house begins in 3 minutes.,,
84886454718,für,Das ist für Sie.,for,That's for you.,,
84886454719,für,Das ist der Schlüssel für die Haustür.,for,That's the key for the front door.,,
84886454720,für,Das ist das Brot für morgen.,for,That's the bread for tomorrow.,,
84886454721,"der Fuß, -ü, e",Der linke Fuß tut mir weh.,foot,My left foot hurts.,,
84886454722,der Fußball,Spielt ihr gerne Fußball?,football,Do you like playing football?,,
84886454723,der Garten,Wir haben leider keinen Garten.,garden,Unfortunately we don't have a garden.,,
84886454724,"der Gast, -ä, e",Am Wochenende haben wir mehrere Gäste.,guest,At the weekend we have several guests.,,
84886454725,geben,Kannst du mir bitte deinen Kugelschreiber geben?,to give,"Can you give me your pen, please?",,
84886454726,es gibt,Es gibt keine Karten mehr.,there is/are,There are no more tickets.,,
84886454727,geboren,Ich bin in Zagreb geboren.,born,I was born in Zagreb.,,
84886454728,das Geburtsjahr,"Das Geburtsjahr Ihres Sohnes, bitte?",birth year,"Your son's year of birth, please?",,
84886454729,der Geburtsort,Bitte schreiben Sie Ihren Geburtsort auf das Formular.,birthplace,Please write your birthplace on the form.,,
84886454730,der Geburtstag,Herzlichen Glückwunsch zum Geburtstag!,birthday,Best wishes on your birthday!,"or simply ""Happy birthday!""",
84886454731,gefallen,Das gefällt mir.,to like,I like that.,,
84886454732,gegen,Fahr nicht gegen den Baum!,into,Don’t drive into the tree!,,
84886454733,gegen,Ich bin gegen diese Lösung.,against,I am against this solution.,,
84886454734,gegen,Wer spielt gegen wen?,against,Who is playing against whom?,,
84886454735,gehen,"Ich weiß nicht, wie das geht.",to work/function,I don’t know how it works./I don't know how to do that.,,
84886454736,gehen,Wie geht's?,to go,How is it going?,,
84886454737,gehen,Jetzt muss ich (aber) leider gehen.,to go,Unfortunately I need to go now.,,
84886454738,gehen,Ich muss zum Arzt gehen.,to go,I need to go to the doctor.,,
84886454739,gehen,Das geht nicht!,to be okay,That’s not okay!,,
84886454740,gehören,Wem gehört das?,to belong,To whom does that belong?,,
84886454741,das Geld,Hast du noch Geld?,money,Do you still have money?,,
84886454742,das Gemüse,Gemüse brauchen wir auch noch.,vegetables,We also need vegetables.,,
84886454743,das Gepäck,Wollen Sie Ihr Gepäck mitnehmen?,luggage,Do you want to take your luggage with you?,,
84886454744,gerade,Da kommt er ja gerade.,now,There he comes now.,,
84886454745,geradeaus,Gehen Sie immer geradeaus!,straight on,Keep going straight on!,,
84886454746,gern(e),Ich gehe gerne einkaufen.,…,I like to go shopping.,etwas gern tun = to like doing something,
84886454747,"das Geschäft, -e",Die Geschäfte schließen um 18.30 Uhr.,shop,The shops close at 6:30 pm.,,
84886454748,"das Geschenk, -e",Danke für das schöne Geschenk.,present,Thank you for the beautiful present.,,
